inventory_id,product_id,warehouse_id,stock_on_hand,stock_reserved,available_stock,last_updated
INV000084,PRD02168,WH039,6350,2331,4019,8/12/2025
INV000085,PRD09802,WH024,5778,721,5057,2/20/2026
INV000086,PRD02831,WH032,2604,1003,1601,5/31/2026
INV000087,PRD06238,WH023,649,215,434,9/4/2025
INV000088,PRD05489,WH040,1296,18,1278,10/15/2025
INV000089,PRD05864,WH011,9690,1721,7969,8/31/2025
INV000090,PRD04042,WH015,5137,1325,3812,6/27/2025
INV000091,PRD05860,WH018,365,76,289,6/4/2026
INV000092,PRD05365,WH016,5792,766,5026,7/29/2025
INV000093,PRD07809,WH041,3585,454,3131,5/28/2026
INV000094,PRD03575,WH018,8338,1260,7078,7/1/2025
INV000095,PRD07843,WH043,9298,3618,5680,10/22/2025
INV000096,PRD06992,WH011,6099,308,5791,1/2/2026
INV000097,PRD09153,WH043,9585,2699,6886,9/11/2025
INV000098,PRD04188,WH024,9677,3678,5999,8/23/2025
INV000099,PRD07661,WH023,3803,530,3273,4/6/2026
INV000100,PRD07214,WH017,9850,1269,8581,8/31/2025
INV000101,PRD06867,WH018,5138,243,4895,4/14/2026
INV000102,PRD07171,WH018,3610,1390,2220,7/19/2025
INV000103,PRD03656,WH034,857,309,548,4/3/2026
INV000104,PRD01957,WH034,8431,2335,6096,3/9/2026
INV000105,PRD02313,WH048,9878,1631,8247,7/12/2025
INV000106,PRD01752,WH015,8440,2179,6261,9/3/2025
INV000107,PRD07064,WH036,6993,282,6711,6/8/2026
INV000108,PRD01896,WH006,8927,946,7981,9/8/2025
INV000109,PRD05309,WH019,2356,722,1634,11/15/2025
INV000110,PRD03961,WH047,3787,658,3129,7/2/2025
INV000111,PRD05221,WH024,2038,601,1437,2/25/2026
INV000112,PRD00505,WH017,3820,1110,2710,10/2/2025
INV000113,PRD06340,WH047,4193,701,3492,5/6/2026
INV000114,PRD00569,WH044,3531,836,2695,10/29/2025
INV000115,PRD08399,WH001,1187,420,767,5/2/2026
INV000116,PRD07432,WH033,4542,1208,3334,6/15/2026
INV000117,PRD02038,WH004,1530,522,1008,2/6/2026
INV000118,PRD05738,WH032,3964,880,3084,10/22/2025
INV000119,PRD08004,WH004,2142,733,1409,12/9/2025
INV000120,PRD08211,WH020,8310,551,7759,7/14/2025
INV000121,PRD02246,WH016,8808,1730,7078,11/20/2025
INV000122,PRD04993,WH033,6812,1553,5259,2/1/2026
INV000123,PRD01275,WH027,1693,306,1387,12/23/2025
INV000124,PRD08944,WH016,4970,1671,3299,2/21/2026
INV000125,PRD07729,WH019,2485,686,1799,3/4/2026
INV000126,PRD03532,WH034,5752,65,5687,10/12/2025
INV000127,PRD05922,WH020,6907,1740,5167,6/1/2026
INV000128,PRD05945,WH050,2254,812,1442,12/27/2025
INV000129,PRD05956,WH009,3575,386,3189,6/25/2025
INV000130,PRD01025,WH044,3838,1134,2704,3/18/2026
INV000131,PRD04613,WH007,1963,445,1518,8/30/2025
INV000132,PRD02571,WH050,3999,1501,2498,11/23/2025
INV000133,PRD09445,WH011,4148,1292,2856,10/29/2025
INV000134,PRD09247,WH012,7825,2711,5114,8/15/2025
INV000135,PRD02764,WH020,6220,664,5556,3/4/2026
INV000136,PRD08631,WH043,2728,412,2316,2/11/2026
INV000137,PRD09411,WH049,113,6,107,2/23/2026
INV000138,PRD07829,WH042,1722,373,1349,7/12/2025
INV000139,PRD00816,WH008,8666,1057,7609,9/25/2025
INV000140,PRD09268,WH015,1413,348,1065,5/7/2026
INV000141,PRD09410,WH013,1844,603,1241,5/18/2026
INV000142,PRD05426,WH043,4051,440,3611,11/29/2025
INV000143,PRD01196,WH006,1729,410,1319,5/29/2026
INV000144,PRD07039,WH034,670,66,604,5/18/2026
INV000145,PRD08261,WH046,958,286,672,11/17/2025
INV000146,PRD07432,WH007,3492,1231,2261,3/2/2026
INV000147,PRD01476,WH049,902,187,715,6/30/2025
INV000148,PRD07796,WH014,9564,3199,6365,10/1/2025
INV000149,PRD01164,WH030,1326,363,963,5/3/2026
INV000150,PRD05528,WH026,7948,3137,4811,3/23/2026
INV000151,PRD08616,WH030,7550,719,6831,8/19/2025
INV000152,PRD01513,WH045,2476,410,2066,8/13/2025
INV000153,PRD06574,WH023,8904,2005,6899,7/10/2025
INV000154,PRD08453,WH037,9112,2829,6283,8/4/2025
INV000155,PRD03200,WH030,6247,1998,4249,2/6/2026
INV000156,PRD06312,WH034,1329,476,853,10/7/2025
INV000157,PRD04618,WH038,2594,512,2082,4/30/2026
INV000158,PRD03475,WH025,7261,2693,4568,5/23/2026
INV000159,PRD08452,WH037,7602,2599,5003,6/24/2025
INV000160,PRD00226,WH048,7050,775,6275,5/25/2026
INV000161,PRD00240,WH028,3472,282,3190,5/21/2026
INV000162,PRD08704,WH045,2494,166,2328,2/6/2026
INV000163,PRD01255,WH032,7571,358,7213,8/20/2025
INV000164,PRD07310,WH012,6185,1466,4719,7/22/2025
INV000165,PRD01626,WH038,6911,2759,4152,11/8/2025
INV000166,PRD03831,WH004,9285,2885,6400,10/31/2025
INV000167,PRD07474,WH026,5476,1229,4247,10/20/2025
INV000168,PRD08098,WH034,5455,1696,3759,2/14/2026
INV000169,PRD08194,WH020,6662,344,6318,11/17/2025
INV000170,PRD09120,WH042,4863,97,4766,4/29/2026
INV000171,PRD08123,WH006,9623,3085,6538,5/28/2026
INV000172,PRD06020,WH047,3545,594,2951,12/31/2025
INV000173,PRD03954,WH035,4770,148,4622,3/31/2026
INV000174,PRD03804,WH050,8172,634,7538,5/23/2026
INV000175,PRD07303,WH003,9977,3923,6054,7/12/2025
INV000176,PRD09312,WH034,5167,214,4953,8/11/2025
INV000177,PRD07167,WH020,4261,1428,2833,3/21/2026
INV000178,PRD07504,WH016,5682,1152,4530,12/24/2025
INV000179,PRD06921,WH045,7598,2047,5551,8/23/2025
INV000180,PRD09199,WH030,8321,1036,7285,8/14/2025
INV000181,PRD03476,WH018,7791,526,7265,4/21/2026
INV000182,PRD09941,WH030,945,97,848,9/16/2025
INV000183,PRD06652,WH016,1385,322,1063,11/11/2025
INV000184,PRD03334,WH025,2022,613,1409,4/22/2026
INV000185,PRD03510,WH013,1711,218,1493,9/14/2025
INV000186,PRD04800,WH015,1336,400,936,3/9/2026
INV000187,PRD07121,WH043,5615,1582,4033,12/21/2025
INV000188,PRD08688,WH028,8373,877,7496,3/13/2026
INV000189,PRD08344,WH012,4158,302,3856,9/2/2025
INV000190,PRD06406,WH007,5975,2045,3930,3/17/2026
INV000191,PRD02962,WH035,1333,66,1267,4/3/2026
INV000192,PRD07906,WH016,5963,818,5145,3/14/2026
INV000193,PRD06898,WH002,1134,128,1006,2/7/2026
INV000194,PRD00163,WH040,7836,2141,5695,11/7/2025
INV000195,PRD03488,WH013,5435,2162,3273,6/10/2026
INV000196,PRD07867,WH047,1092,66,1026,3/11/2026
INV000197,PRD01872,WH045,2699,646,2053,3/18/2026
INV000198,PRD05504,WH041,7623,2412,5211,12/22/2025
INV000199,PRD07498,WH015,1319,271,1048,5/14/2026
INV000200,PRD02830,WH038,9020,3221,5799,8/2/2025
INV000201,PRD04351,WH050,9340,2443,6897,11/6/2025
INV000202,PRD01802,WH031,8977,2903,6074,10/14/2025
INV000203,PRD02667,WH025,7418,2406,5012,11/8/2025
INV000204,PRD00411,WH037,882,135,747,5/18/2026
INV000205,PRD09509,WH045,8376,1375,7001,8/24/2025
INV000206,PRD03403,WH017,2397,589,1808,12/3/2025
INV000207,PRD08738,WH049,9402,1551,7851,12/22/2025
INV000208,PRD07274,WH030,2797,503,2294,9/19/2025
INV000209,PRD06154,WH022,2676,591,2085,2/22/2026
INV000210,PRD03596,WH012,1742,214,1528,4/18/2026
INV000211,PRD02540,WH021,2143,163,1980,2/18/2026
INV000212,PRD06519,WH003,5457,1446,4011,10/23/2025
INV000213,PRD06151,WH032,7382,2650,4732,12/27/2025
INV000214,PRD00365,WH019,3578,324,3254,12/16/2025
INV000215,PRD00260,WH010,4153,1481,2672,10/22/2025
INV000216,PRD01760,WH017,7940,2206,5734,2/12/2026
INV000217,PRD05375,WH028,4045,245,3800,6/29/2025
INV000218,PRD01953,WH042,6037,761,5276,4/8/2026
INV000219,PRD04195,WH044,6641,1189,5452,5/4/2026
INV000220,PRD01810,WH031,626,146,480,3/8/2026
INV000221,PRD02451,WH033,3531,516,3015,2/27/2026
INV000222,PRD04018,WH024,911,145,766,5/13/2026
INV000223,PRD01796,WH036,5368,205,5163,10/18/2025
INV000224,PRD04611,WH012,9830,2463,7367,9/12/2025
INV000225,PRD08580,WH026,7313,2476,4837,1/5/2026
INV000226,PRD08648,WH001,8574,1298,7276,7/27/2025
INV000227,PRD04861,WH046,4900,1163,3737,2/11/2026
INV000228,PRD09889,WH037,4855,1616,3239,2/17/2026
INV000229,PRD07365,WH049,6168,329,5839,4/1/2026
INV000230,PRD09501,WH036,9332,2766,6566,4/24/2026
INV000231,PRD03324,WH019,1843,652,1191,12/20/2025
INV000232,PRD04950,WH010,7231,1651,5580,3/21/2026
INV000233,PRD00737,WH046,5240,780,4460,4/10/2026
INV000234,PRD00167,WH049,6918,479,6439,11/12/2025
INV000235,PRD08926,WH047,5036,1094,3942,6/2/2026
INV000236,PRD01595,WH046,7487,927,6560,8/6/2025
INV000237,PRD08286,WH021,4204,246,3958,9/20/2025
INV000238,PRD01312,WH004,6247,1205,5042,3/9/2026
INV000239,PRD04358,WH044,1230,306,924,3/11/2026
INV000240,PRD06742,WH031,7270,1657,5613,10/3/2025
INV000241,PRD02770,WH042,4748,643,4105,8/18/2025
INV000242,PRD09479,WH022,5188,585,4603,3/28/2026
INV000243,PRD05723,WH045,3894,980,2914,7/23/2025
INV000244,PRD08172,WH012,2313,153,2160,5/17/2026
INV000245,PRD03386,WH001,4432,1720,2712,9/10/2025
INV000246,PRD08002,WH030,4654,1020,3634,6/2/2026
INV000247,PRD07785,WH004,8487,278,8209,7/25/2025
INV000248,PRD06800,WH006,5300,1609,3691,1/31/2026
INV000249,PRD00785,WH020,7293,330,6963,10/6/2025
INV000250,PRD02841,WH017,9924,154,9770,3/26/2026
INV000251,PRD01861,WH001,1890,325,1565,5/18/2026
INV000252,PRD01513,WH043,9183,1357,7826,7/18/2025
INV000253,PRD08306,WH003,9474,569,8905,10/20/2025
INV000254,PRD02379,WH003,517,21,496,9/29/2025
INV000255,PRD00716,WH006,3018,198,2820,6/16/2026
INV000256,PRD00167,WH034,1193,131,1062,12/6/2025
INV000257,PRD03677,WH035,3622,318,3304,1/1/2026
INV000258,PRD00982,WH006,3536,200,3336,7/26/2025
INV000259,PRD07673,WH045,9695,1453,8242,11/16/2025
INV000260,PRD07920,WH050,9141,881,8260,12/2/2025
INV000261,PRD04958,WH017,5745,1641,4104,5/23/2026
INV000262,PRD05936,WH019,920,29,891,8/15/2025
INV000263,PRD05641,WH030,4421,576,3845,4/17/2026
INV000264,PRD02002,WH028,2016,510,1506,7/25/2025
INV000265,PRD09463,WH003,9681,1143,8538,7/22/2025
INV000266,PRD08092,WH007,2625,253,2372,7/27/2025
INV000267,PRD00646,WH031,1910,717,1193,9/30/2025
INV000268,PRD06462,WH005,5898,1004,4894,9/20/2025
INV000269,PRD02581,WH043,7552,718,6834,7/17/2025
INV000270,PRD02463,WH047,1950,14,1936,1/15/2026
INV000271,PRD02815,WH009,6944,1438,5506,7/30/2025
INV000272,PRD05136,WH019,7500,2594,4906,12/5/2025
INV000273,PRD02609,WH034,1616,127,1489,6/16/2026
INV000274,PRD02253,WH003,9799,1296,8503,1/10/2026
INV000275,PRD01996,WH012,2920,239,2681,10/10/2025
INV000276,PRD06477,WH018,6692,735,5957,8/8/2025
INV000277,PRD09348,WH017,8654,1538,7116,11/20/2025
INV000278,PRD05153,WH030,5746,426,5320,11/22/2025
INV000279,PRD02749,WH024,4503,1539,2964,8/27/2025
INV000280,PRD02591,WH008,6489,243,6246,5/31/2026
INV000281,PRD01081,WH037,5972,1994,3978,2/26/2026
INV000282,PRD01116,WH007,2287,47,2240,6/25/2025
INV000283,PRD04935,WH021,8233,149,8084,11/1/2025
INV000284,PRD09190,WH034,9594,3601,5993,2/18/2026
INV000285,PRD07687,WH050,5315,1675,3640,12/8/2025
INV000286,PRD05867,WH043,2594,840,1754,6/5/2026
INV000287,PRD01174,WH013,3306,781,2525,12/21/2025
INV000288,PRD05617,WH035,6966,1270,5696,5/11/2026
INV000289,PRD08671,WH025,9423,2003,7420,3/5/2026
INV000290,PRD08259,WH006,1173,371,802,5/4/2026
INV000291,PRD00019,WH036,3137,1197,1940,11/27/2025
INV000292,PRD02882,WH048,7329,1810,5519,6/16/2026
INV000293,PRD02979,WH030,2532,607,1925,3/6/2026
INV000294,PRD03708,WH035,485,130,355,5/18/2026
INV000295,PRD05720,WH046,9814,1028,8786,6/13/2026
INV000296,PRD04884,WH034,2358,361,1997,8/14/2025
INV000297,PRD02003,WH041,8715,865,7850,5/17/2026
INV000298,PRD09302,WH004,8740,2985,5755,7/6/2025
INV000299,PRD04476,WH018,6661,1414,5247,6/25/2025
INV000300,PRD07004,WH035,2741,526,2215,10/9/2025
INV000301,PRD02025,WH049,9952,3399,6553,9/9/2025
INV000302,PRD02273,WH047,171,28,143,2/10/2026
INV000303,PRD06421,WH010,1395,212,1183,8/14/2025
INV000304,PRD07973,WH022,4585,1063,3522,11/13/2025
INV000305,PRD05288,WH040,828,76,752,11/3/2025
INV000306,PRD04630,WH031,5767,1663,4104,7/25/2025
INV000307,PRD05346,WH042,5937,1051,4886,2/23/2026
INV000308,PRD01732,WH026,4854,1544,3310,8/8/2025
INV000309,PRD03743,WH044,7914,1356,6558,7/24/2025
INV000310,PRD02488,WH013,5799,952,4847,5/17/2026
INV000311,PRD07666,WH043,6270,147,6123,1/12/2026
INV000312,PRD00948,WH017,9269,2531,6738,4/18/2026
INV000313,PRD09010,WH038,6110,1893,4217,11/27/2025
INV000314,PRD09022,WH032,8102,332,7770,10/2/2025
INV000315,PRD00406,WH021,8741,1082,7659,3/18/2026
INV000316,PRD03138,WH014,3450,415,3035,1/29/2026
INV000317,PRD00991,WH049,3869,786,3083,8/12/2025
INV000318,PRD08944,WH033,2320,608,1712,12/22/2025
INV000319,PRD05302,WH039,6391,904,5487,9/3/2025
INV000320,PRD00778,WH037,7832,136,7696,10/21/2025
INV000321,PRD04673,WH008,7144,1430,5714,6/20/2025
INV000322,PRD05423,WH036,7261,1920,5341,6/4/2026
INV000323,PRD03407,WH034,9673,543,9130,6/15/2026
INV000324,PRD09778,WH002,616,117,499,10/1/2025
INV000325,PRD02304,WH044,5356,1261,4095,5/29/2026
INV000326,PRD07240,WH020,4322,1189,3133,2/22/2026
INV000327,PRD05144,WH035,9895,1417,8478,7/6/2025
INV000328,PRD08491,WH012,218,19,199,4/7/2026
INV000329,PRD02169,WH023,9163,2666,6497,7/24/2025
INV000330,PRD02703,WH019,6683,2459,4224,4/15/2026
INV000331,PRD05517,WH014,1077,240,837,1/18/2026
INV000332,PRD06107,WH020,5319,634,4685,11/22/2025
INV000333,PRD06981,WH047,4995,1360,3635,1/7/2026
INV000334,PRD09876,WH002,593,52,541,6/1/2026
INV000335,PRD04339,WH008,5808,944,4864,9/13/2025
INV000336,PRD03273,WH007,5110,465,4645,3/3/2026
INV000337,PRD06181,WH044,712,92,620,4/1/2026
INV000338,PRD06143,WH047,9460,1233,8227,10/3/2025
INV000339,PRD06256,WH026,3581,497,3084,12/7/2025
INV000340,PRD06525,WH016,2059,695,1364,8/22/2025
INV000341,PRD02992,WH010,8403,744,7659,4/6/2026
INV000342,PRD01374,WH022,7782,1640,6142,11/19/2025
INV000343,PRD01673,WH011,8096,1194,6902,5/24/2026
INV000344,PRD07310,WH002,7297,1151,6146,7/25/2025
INV000345,PRD04725,WH015,1519,363,1156,1/31/2026
INV000346,PRD00816,WH046,1635,340,1295,3/26/2026
INV000347,PRD05438,WH032,5886,1921,3965,11/11/2025
INV000348,PRD07228,WH029,9752,3389,6363,10/5/2025
INV000349,PRD00293,WH038,1835,256,1579,12/30/2025
INV000350,PRD01873,WH045,5672,2146,3526,1/30/2026
INV000351,PRD01866,WH021,4664,1789,2875,9/27/2025
INV000352,PRD03531,WH008,7945,755,7190,8/28/2025
INV000353,PRD08867,WH023,3377,1190,2187,10/26/2025
INV000354,PRD02592,WH012,9884,1387,8497,5/29/2026
INV000355,PRD06525,WH011,994,175,819,11/6/2025
INV000356,PRD08646,WH012,7593,1610,5983,5/16/2026
INV000357,PRD04895,WH004,9888,525,9363,6/26/2025
INV000358,PRD09753,WH011,8446,2876,5570,5/11/2026
INV000359,PRD08581,WH042,7262,488,6774,10/2/2025
INV000360,PRD03567,WH014,5658,1278,4380,12/10/2025
INV000361,PRD06662,WH017,8170,2574,5596,8/15/2025
INV000362,PRD08619,WH020,9556,3464,6092,4/25/2026
INV000363,PRD09675,WH003,2555,840,1715,4/13/2026
INV000364,PRD07462,WH037,1839,690,1149,11/4/2025
INV000365,PRD02750,WH029,8366,781,7585,5/29/2026
INV000366,PRD06518,WH010,441,58,383,9/26/2025
INV000367,PRD03233,WH032,8553,2648,5905,10/25/2025
INV000368,PRD00985,WH038,3503,708,2795,3/6/2026
INV000369,PRD07764,WH002,7349,1684,5665,9/12/2025
INV000370,PRD00647,WH035,9426,1884,7542,1/28/2026
INV000371,PRD02551,WH031,4319,474,3845,10/20/2025
INV000372,PRD06417,WH034,1242,361,881,4/5/2026
INV000373,PRD03169,WH014,391,94,297,7/11/2025
INV000374,PRD02230,WH042,7478,418,7060,2/23/2026
INV000375,PRD01293,WH033,6939,703,6236,6/26/2025
INV000376,PRD09159,WH022,7442,1688,5754,5/29/2026
INV000377,PRD06299,WH012,8129,1275,6854,9/17/2025
INV000378,PRD07675,WH044,4792,696,4096,6/20/2025
INV000379,PRD01545,WH009,2942,966,1976,7/7/2025
INV000380,PRD00001,WH031,9707,1699,8008,6/1/2026
INV000381,PRD00809,WH034,4323,784,3539,12/1/2025
INV000382,PRD08938,WH017,1563,184,1379,2/28/2026
INV000383,PRD05356,WH021,3526,87,3439,7/1/2025
INV000384,PRD07577,WH003,5510,925,4585,7/16/2025
INV000385,PRD05073,WH050,4950,545,4405,1/19/2026
INV000386,PRD03008,WH042,5319,629,4690,12/14/2025
INV000387,PRD08649,WH038,9489,2646,6843,12/9/2025
INV000388,PRD03988,WH029,895,170,725,7/24/2025
INV000389,PRD03582,WH037,9698,2594,7104,8/27/2025
INV000390,PRD04754,WH031,5485,952,4533,3/13/2026
INV000391,PRD06882,WH006,4166,656,3510,11/16/2025
INV000392,PRD00244,WH014,1237,332,905,8/22/2025
INV000393,PRD05802,WH045,698,88,610,9/15/2025
INV000394,PRD04141,WH050,8395,507,7888,1/5/2026
INV000395,PRD03233,WH037,5115,1217,3898,11/3/2025
INV000396,PRD04774,WH021,5112,1749,3363,7/1/2025
INV000397,PRD03112,WH023,5660,935,4725,8/2/2025
INV000398,PRD09374,WH040,819,230,589,3/30/2026
INV000399,PRD05423,WH025,3789,1149,2640,7/16/2025
INV000400,PRD09487,WH040,2763,971,1792,7/2/2025
INV000401,PRD09820,WH027,3339,89,3250,10/30/2025
INV000402,PRD05931,WH048,5313,653,4660,4/30/2026
INV000403,PRD00392,WH026,4407,493,3914,3/18/2026
INV000404,PRD02794,WH024,7614,7,7607,11/14/2025
INV000405,PRD02028,WH026,6435,2368,4067,4/17/2026
INV000406,PRD05088,WH006,9706,2190,7516,7/29/2025
INV000407,PRD04194,WH008,8790,3209,5581,10/13/2025
INV000408,PRD01496,WH015,3254,13,3241,3/26/2026
INV000409,PRD05097,WH037,6411,1126,5285,9/13/2025
INV000410,PRD04869,WH013,5364,1924,3440,5/1/2026
INV000411,PRD00687,WH003,4963,492,4471,6/3/2026
INV000412,PRD03229,WH007,8299,1301,6998,3/29/2026
INV000413,PRD04931,WH043,5470,1603,3867,8/16/2025
INV000414,PRD09297,WH039,7375,416,6959,11/24/2025
INV000415,PRD06855,WH027,4007,1199,2808,3/8/2026
INV000416,PRD05414,WH046,7192,239,6953,8/7/2025
INV000417,PRD01502,WH042,5280,1637,3643,3/23/2026
INV000418,PRD08286,WH046,614,33,581,11/1/2025
INV000419,PRD01881,WH002,2492,971,1521,11/2/2025
INV000420,PRD02939,WH040,9151,2087,7064,11/20/2025
INV000421,PRD04899,WH044,1097,315,782,1/21/2026
INV000422,PRD05764,WH048,5402,85,5317,7/19/2025
INV000423,PRD09247,WH040,6272,448,5824,6/13/2026
INV000424,PRD05403,WH016,4848,1016,3832,10/11/2025
INV000425,PRD07740,WH004,5629,1399,4230,3/9/2026
INV000426,PRD08057,WH003,2896,501,2395,1/29/2026
INV000427,PRD00089,WH011,9926,3599,6327,5/19/2026
INV000428,PRD07409,WH039,6338,774,5564,7/14/2025
INV000429,PRD04044,WH017,4314,1345,2969,5/16/2026
INV000430,PRD09452,WH042,3275,992,2283,1/8/2026
INV000431,PRD03406,WH026,9916,2326,7590,9/19/2025
INV000432,PRD09572,WH015,8679,569,8110,4/10/2026
INV000433,PRD00530,WH028,4010,1568,2442,10/28/2025
INV000434,PRD00343,WH015,4094,1590,2504,1/7/2026
INV000435,PRD09050,WH050,8584,967,7617,1/9/2026
INV000436,PRD07088,WH047,7046,2377,4669,3/1/2026
INV000437,PRD03218,WH034,7230,1589,5641,12/9/2025
INV000438,PRD00602,WH028,8410,98,8312,7/29/2025
INV000439,PRD06344,WH041,2987,995,1992,9/29/2025
INV000440,PRD07273,WH047,8475,1263,7212,2/21/2026
INV000441,PRD06478,WH027,2608,400,2208,4/15/2026
INV000442,PRD09628,WH002,2941,1121,1820,9/10/2025
INV000443,PRD05778,WH029,9889,3110,6779,6/8/2026
INV000444,PRD01781,WH031,1611,322,1289,3/9/2026
INV000445,PRD05118,WH041,8620,3044,5576,4/9/2026
INV000446,PRD00947,WH039,5489,1243,4246,10/25/2025
INV000447,PRD06780,WH038,5560,613,4947,6/9/2026
INV000448,PRD03969,WH040,5484,919,4565,5/16/2026
INV000449,PRD00069,WH008,4677,823,3854,9/24/2025
INV000450,PRD09602,WH032,3931,405,3526,9/7/2025
INV000451,PRD09837,WH021,1895,689,1206,12/6/2025
INV000452,PRD01734,WH046,5696,774,4922,11/1/2025
INV000453,PRD07076,WH022,5408,1520,3888,4/26/2026
INV000454,PRD06900,WH029,6820,2430,4390,2/3/2026
INV000455,PRD04674,WH025,7621,2224,5397,10/19/2025
INV000456,PRD00050,WH050,7950,2600,5350,6/4/2026
INV000457,PRD02620,WH008,6435,1322,5113,5/14/2026
INV000458,PRD01508,WH013,1306,239,1067,7/15/2025
INV000459,PRD05321,WH015,5177,1244,3933,8/21/2025
