defect_id,product_id,supplier_id,warehouse_id,defect_type,defect_count,inspection_date,severity
DEF000102,PRD00731,SUP0167,WH002,Contamination,194,3/26/2024,Medium
DEF000103,PRD03106,SUP0590,WH021,Broken Item,25,4/28/2025,Medium
DEF000104,PRD09341,SUP0695,WH002,Transit Damage,228,2/11/2023,Low
DEF000105,PRD08478,SUP0450,WH030,Expired Product,204,2/18/2026,Low
DEF000106,PRD03784,SUP0763,WH049,Packaging Damage,119,2/17/2026,High
DEF000107,PRD06966,SUP0375,WH013,Broken Item,433,2/14/2024,Low
DEF000108,PRD09283,SUP0909,WH008,Broken Item,172,8/16/2023,Medium
DEF000109,PRD03687,SUP0276,WH015,Contamination,295,5/6/2025,Medium
DEF000110,PRD04347,SUP0309,WH049,Expired Product,366,2/27/2024,High
DEF000111,PRD03472,SUP0723,WH002,Packaging Damage,419,2/4/2023,Low
DEF000112,PRD03258,SUP0995,WH030,Label Error,347,10/6/2023,Medium
DEF000113,PRD07634,SUP0615,WH029,Broken Item,231,9/29/2025,Low
DEF000114,PRD07510,SUP0866,WH045,Transit Damage,340,8/1/2025,Low
DEF000115,PRD05804,SUP0199,WH008,Packaging Damage,214,1/25/2025,Low
DEF000116,PRD05374,SUP0766,WH047,Quality Failure,480,2/12/2026,Low
DEF000117,PRD03421,SUP0544,WH035,Expired Product,346,4/21/2025,Medium
DEF000118,PRD01886,SUP0342,WH017,Broken Item,31,6/8/2026,High
DEF000119,PRD08226,SUP0098,WH040,Expired Product,412,8/28/2023,Low
DEF000120,PRD00430,SUP0535,WH023,Label Error,351,2/15/2023,Low
DEF000121,PRD08093,SUP0342,WH014,Transit Damage,351,1/18/2023,Medium
DEF000122,PRD01834,SUP0845,WH021,Broken Item,294,9/13/2023,Low
DEF000123,PRD01242,SUP0721,WH044,Label Error,344,12/15/2023,Low
DEF000124,PRD08886,SUP0951,WH003,Label Error,305,3/31/2023,Low
DEF000125,PRD00994,SUP0781,WH049,Quality Failure,81,12/24/2023,Medium
DEF000126,PRD08617,SUP0386,WH010,Packaging Damage,455,12/1/2025,Low
DEF000127,PRD05304,SUP0482,WH031,Quality Failure,368,1/27/2024,Low
DEF000128,PRD03437,SUP0635,WH021,Packaging Damage,34,2/10/2024,Low
DEF000129,PRD04418,SUP0800,WH014,Quality Failure,187,7/26/2023,Critical
DEF000130,PRD02809,SUP0884,WH031,Contamination,125,4/16/2026,Low
DEF000131,PRD06697,SUP0119,WH039,Expired Product,111,10/3/2025,High
DEF000132,PRD06721,SUP0229,WH048,Broken Item,424,4/9/2025,Medium
DEF000133,PRD04674,SUP0814,WH002,Contamination,35,1/27/2026,Low
DEF000134,PRD08484,SUP0023,WH035,Quality Failure,249,10/1/2024,Low
DEF000135,PRD06960,SUP0573,WH013,Contamination,187,10/10/2024,Critical
DEF000136,PRD00970,SUP0637,WH047,Quality Failure,8,7/16/2023,High
DEF000137,PRD07768,SUP0028,WH042,Broken Item,177,3/27/2025,Medium
DEF000138,PRD06781,SUP0733,WH041,Transit Damage,159,3/22/2023,Low
DEF000139,PRD07715,SUP0419,WH015,Packaging Damage,157,10/2/2023,Low
DEF000140,PRD01168,SUP0959,WH039,Expired Product,382,4/20/2024,Low
DEF000141,PRD09566,SUP0178,WH037,Contamination,493,6/6/2024,Medium
DEF000142,PRD06725,SUP0751,WH018,Quality Failure,35,5/24/2026,Critical
DEF000143,PRD09739,SUP0378,WH041,Expired Product,462,5/4/2023,High
DEF000144,PRD02077,SUP0036,WH019,Expired Product,126,4/7/2025,Low
DEF000145,PRD06094,SUP0673,WH040,Quality Failure,118,4/25/2025,Low
DEF000146,PRD06985,SUP0727,WH012,Broken Item,17,9/22/2023,Medium
DEF000147,PRD00459,SUP0803,WH025,Contamination,484,2/6/2026,Medium
DEF000148,PRD05807,SUP0078,WH019,Transit Damage,16,4/27/2023,High
DEF000149,PRD02747,SUP0909,WH015,Label Error,486,1/12/2025,Medium
DEF000150,PRD01446,SUP0047,WH014,Packaging Damage,363,7/13/2024,High
DEF000151,PRD09146,SUP0546,WH034,Contamination,473,11/22/2023,Low
DEF000152,PRD09307,SUP0744,WH028,Quality Failure,84,3/8/2026,Medium
DEF000153,PRD05197,SUP0308,WH046,Transit Damage,228,3/1/2025,Low
DEF000154,PRD01412,SUP0610,WH020,Broken Item,390,7/1/2023,Low
DEF000155,PRD06980,SUP0852,WH047,Transit Damage,444,2/4/2026,Low
DEF000156,PRD02236,SUP0039,WH031,Quality Failure,155,2/26/2026,Low
DEF000157,PRD09572,SUP0762,WH014,Contamination,338,6/23/2024,High
DEF000158,PRD03447,SUP0475,WH023,Quality Failure,154,8/6/2025,High
DEF000159,PRD07976,SUP0649,WH028,Contamination,3,2/10/2023,Medium
DEF000160,PRD00708,SUP0005,WH044,Label Error,497,12/26/2024,Low
DEF000161,PRD03390,SUP0410,WH047,Contamination,250,4/17/2025,Medium
DEF000162,PRD03642,SUP0106,WH042,Packaging Damage,287,2/18/2024,High
DEF000163,PRD02602,SUP0763,WH010,Packaging Damage,39,7/9/2024,High
DEF000164,PRD01422,SUP0043,WH039,Expired Product,263,6/2/2025,Medium
DEF000165,PRD02411,SUP0438,WH001,Transit Damage,317,4/16/2025,Critical
DEF000166,PRD01042,SUP0419,WH019,Label Error,278,4/10/2026,Medium
DEF000167,PRD09742,SUP0605,WH036,Label Error,152,6/3/2025,Low
DEF000168,PRD07914,SUP0405,WH022,Broken Item,390,7/31/2024,Low
DEF000169,PRD01903,SUP0694,WH042,Packaging Damage,60,3/16/2023,Low
DEF000170,PRD03597,SUP0939,WH001,Label Error,342,7/3/2023,High
DEF000171,PRD09103,SUP0477,WH032,Broken Item,230,10/24/2025,Low
DEF000172,PRD01633,SUP0328,WH028,Quality Failure,155,8/23/2024,Medium
DEF000173,PRD04773,SUP0240,WH030,Contamination,263,11/11/2025,Low
DEF000174,PRD02477,SUP0628,WH006,Contamination,421,2/5/2026,Medium
DEF000175,PRD00330,SUP0438,WH026,Label Error,251,9/22/2023,Low
DEF000176,PRD06616,SUP0009,WH025,Broken Item,410,1/3/2023,Low
DEF000177,PRD00860,SUP0772,WH038,Broken Item,365,4/3/2024,Low
DEF000178,PRD04510,SUP0768,WH030,Transit Damage,251,12/26/2023,Low
DEF000179,PRD07919,SUP0424,WH011,Packaging Damage,51,6/16/2025,Low
DEF000180,PRD06953,SUP0054,WH047,Packaging Damage,43,9/28/2024,Low
DEF000181,PRD04406,SUP0874,WH019,Quality Failure,405,3/13/2023,High
DEF000182,PRD07313,SUP0369,WH020,Packaging Damage,391,1/16/2026,Low
DEF000183,PRD03501,SUP0037,WH017,Expired Product,490,1/14/2024,Medium
DEF000184,PRD09143,SUP0595,WH015,Quality Failure,53,1/1/2026,Low
DEF000185,PRD07938,SUP0538,WH027,Label Error,475,6/29/2025,Low
DEF000186,PRD02527,SUP0287,WH016,Transit Damage,500,11/4/2023,High
DEF000187,PRD06017,SUP0337,WH018,Broken Item,253,1/21/2025,Medium
DEF000188,PRD00087,SUP0311,WH014,Contamination,31,9/5/2023,Low
DEF000189,PRD02353,SUP0883,WH044,Quality Failure,241,6/23/2023,High
DEF000190,PRD09709,SUP0611,WH030,Quality Failure,311,7/9/2023,Low
DEF000191,PRD07003,SUP0419,WH004,Broken Item,492,1/16/2024,Low
DEF000192,PRD08680,SUP0495,WH026,Expired Product,261,12/4/2023,Low
DEF000193,PRD02884,SUP0540,WH014,Packaging Damage,494,6/12/2024,Low
DEF000194,PRD06684,SUP0862,WH033,Expired Product,139,2/13/2025,High
DEF000195,PRD02082,SUP0033,WH013,Label Error,351,2/8/2025,Medium
DEF000196,PRD09862,SUP0316,WH042,Quality Failure,54,7/8/2024,Critical
DEF000197,PRD00808,SUP0222,WH039,Expired Product,186,8/8/2025,Medium
DEF000198,PRD09088,SUP0637,WH018,Transit Damage,166,7/4/2024,Medium
DEF000199,PRD06203,SUP0510,WH050,Expired Product,297,1/25/2025,Medium
DEF000200,PRD02759,SUP0800,WH028,Label Error,227,2/1/2023,Low
DEF000201,PRD00915,SUP0379,WH002,Label Error,252,5/20/2024,Medium
DEF000202,PRD08737,SUP0059,WH034,Packaging Damage,416,4/17/2025,Medium
DEF000203,PRD03561,SUP0548,WH034,Quality Failure,198,1/30/2024,High
DEF000204,PRD08279,SUP0875,WH022,Transit Damage,186,6/22/2023,Medium
DEF000205,PRD04819,SUP0421,WH050,Broken Item,315,1/21/2024,Low
DEF000206,PRD03787,SUP0516,WH002,Broken Item,300,1/16/2024,Medium
DEF000207,PRD05166,SUP0927,WH044,Transit Damage,9,10/30/2023,Medium
DEF000208,PRD07264,SUP0213,WH015,Expired Product,479,4/22/2023,High
DEF000209,PRD02655,SUP0382,WH030,Label Error,141,2/8/2025,High
DEF000210,PRD05669,SUP0406,WH017,Packaging Damage,21,4/29/2024,Low
DEF000211,PRD08170,SUP0390,WH044,Quality Failure,472,4/7/2024,Medium
DEF000212,PRD08313,SUP0059,WH016,Packaging Damage,421,1/3/2024,Low
DEF000213,PRD09202,SUP0856,WH003,Expired Product,114,3/13/2023,High
DEF000214,PRD09278,SUP0310,WH022,Transit Damage,379,3/31/2023,High
DEF000215,PRD09002,SUP0940,WH033,Expired Product,144,5/24/2023,Low
DEF000216,PRD01476,SUP0837,WH020,Label Error,176,11/20/2024,Medium
DEF000217,PRD06975,SUP0117,WH038,Broken Item,281,4/18/2026,High
DEF000218,PRD00139,SUP0903,WH026,Transit Damage,332,11/19/2023,Low
DEF000219,PRD09042,SUP0750,WH006,Quality Failure,269,2/18/2024,Low
DEF000220,PRD00372,SUP0763,WH036,Transit Damage,238,11/8/2025,Low
DEF000221,PRD09962,SUP0822,WH020,Broken Item,30,8/4/2025,Low
DEF000222,PRD09302,SUP0702,WH013,Quality Failure,464,1/1/2026,Medium
DEF000223,PRD05867,SUP0131,WH013,Packaging Damage,457,2/9/2024,Low
DEF000224,PRD00537,SUP0573,WH036,Expired Product,142,12/30/2025,Low
DEF000225,PRD07414,SUP0670,WH045,Broken Item,249,7/15/2025,Critical
DEF000226,PRD08063,SUP0882,WH014,Transit Damage,500,5/3/2024,Medium
DEF000227,PRD02363,SUP0617,WH031,Contamination,264,11/22/2025,Medium
DEF000228,PRD03686,SUP0043,WH003,Transit Damage,348,3/9/2023,Medium
DEF000229,PRD00693,SUP0826,WH033,Transit Damage,272,11/10/2025,Low
DEF000230,PRD09170,SUP0868,WH006,Broken Item,242,8/26/2025,High
DEF000231,PRD07060,SUP0595,WH041,Broken Item,429,8/31/2023,Medium
DEF000232,PRD09962,SUP0822,WH025,Label Error,370,10/23/2023,Low
DEF000233,PRD06458,SUP0736,WH050,Expired Product,73,12/28/2025,Medium
DEF000234,PRD07019,SUP0428,WH003,Expired Product,1,1/16/2025,Medium
DEF000235,PRD06025,SUP0082,WH033,Quality Failure,348,4/29/2024,Low
DEF000236,PRD02858,SUP0267,WH032,Contamination,70,6/25/2025,Low
DEF000237,PRD07732,SUP0564,WH049,Transit Damage,330,11/8/2024,Low
DEF000238,PRD02481,SUP0979,WH002,Label Error,104,6/26/2023,Medium
DEF000239,PRD09947,SUP0094,WH020,Quality Failure,372,4/13/2023,Low
DEF000240,PRD06877,SUP0532,WH015,Label Error,419,8/31/2023,High
DEF000241,PRD01785,SUP0025,WH025,Contamination,270,10/12/2023,Medium
DEF000242,PRD09008,SUP0869,WH025,Packaging Damage,118,5/28/2025,Medium
DEF000243,PRD05281,SUP0090,WH043,Expired Product,342,12/5/2025,Low
DEF000244,PRD09713,SUP0337,WH013,Label Error,341,7/7/2023,Medium
DEF000245,PRD07618,SUP0321,WH008,Contamination,449,8/17/2024,Medium
DEF000246,PRD09794,SUP0944,WH022,Contamination,41,10/30/2024,Medium
DEF000247,PRD00077,SUP0285,WH024,Label Error,451,5/3/2023,Low
DEF000248,PRD08200,SUP0956,WH016,Label Error,425,6/27/2023,Low
DEF000249,PRD01683,SUP0215,WH036,Broken Item,428,9/22/2024,Low
DEF000250,PRD00009,SUP0465,WH037,Broken Item,321,8/15/2025,Medium
DEF000251,PRD00282,SUP0206,WH022,Label Error,194,12/13/2023,Low
DEF000252,PRD06408,SUP0178,WH028,Contamination,398,3/23/2026,Low
DEF000253,PRD04154,SUP0627,WH018,Expired Product,68,6/30/2023,Medium
DEF000254,PRD00053,SUP0862,WH040,Expired Product,220,7/9/2025,High
DEF000255,PRD09400,SUP0943,WH017,Packaging Damage,173,5/19/2023,Low
DEF000256,PRD06331,SUP0119,WH005,Packaging Damage,243,5/29/2023,High
DEF000257,PRD07087,SUP0820,WH001,Packaging Damage,35,11/1/2025,High
DEF000258,PRD09856,SUP0936,WH037,Packaging Damage,159,2/15/2023,High
DEF000259,PRD09710,SUP0559,WH027,Label Error,400,8/26/2025,Medium
DEF000260,PRD02545,SUP0092,WH018,Contamination,76,12/17/2024,High
DEF000261,PRD05712,SUP0286,WH033,Packaging Damage,73,10/15/2024,High
DEF000262,PRD09834,SUP0998,WH035,Transit Damage,11,4/26/2026,Medium
DEF000263,PRD02711,SUP0101,WH011,Contamination,27,1/24/2024,High
DEF000264,PRD05078,SUP0510,WH001,Broken Item,305,8/9/2023,Medium
DEF000265,PRD00194,SUP0602,WH042,Broken Item,300,3/26/2023,Critical
DEF000266,PRD05089,SUP0628,WH048,Contamination,40,2/8/2026,Low
DEF000267,PRD03379,SUP0964,WH006,Quality Failure,406,2/20/2026,Medium
DEF000268,PRD01188,SUP0930,WH026,Packaging Damage,405,11/15/2025,High
DEF000269,PRD07315,SUP0885,WH025,Label Error,308,5/14/2025,Medium
DEF000270,PRD07137,SUP0284,WH043,Label Error,486,2/6/2024,Low
DEF000271,PRD03816,SUP0091,WH044,Broken Item,290,3/14/2025,High
DEF000272,PRD09521,SUP0619,WH028,Contamination,329,7/30/2025,Medium
DEF000273,PRD08529,SUP0859,WH043,Contamination,130,5/9/2026,High
DEF000274,PRD08380,SUP0210,WH011,Quality Failure,422,1/22/2025,Low
DEF000275,PRD04777,SUP0817,WH034,Quality Failure,35,6/6/2023,Medium
DEF000276,PRD01352,SUP0997,WH017,Expired Product,80,5/8/2023,Medium
DEF000277,PRD07154,SUP0949,WH015,Contamination,14,3/21/2023,Low
DEF000278,PRD00489,SUP0895,WH042,Transit Damage,178,8/16/2023,Low
DEF000279,PRD09773,SUP0532,WH005,Expired Product,280,11/11/2023,Medium
DEF000280,PRD01581,SUP0063,WH048,Packaging Damage,415,5/21/2026,Low
DEF000281,PRD01085,SUP0656,WH014,Packaging Damage,329,1/7/2023,Medium
DEF000282,PRD09772,SUP0129,WH029,Packaging Damage,15,5/11/2023,Medium
DEF000283,PRD03994,SUP0105,WH034,Transit Damage,200,10/20/2023,Low
DEF000284,PRD00757,SUP0603,WH010,Expired Product,389,2/7/2025,Low
DEF000285,PRD05153,SUP0695,WH039,Broken Item,90,3/22/2026,Medium
DEF000286,PRD09088,SUP0637,WH001,Broken Item,418,4/3/2024,High
DEF000287,PRD06616,SUP0009,WH024,Label Error,367,2/22/2025,High
DEF000288,PRD09262,SUP0944,WH047,Label Error,208,9/7/2023,Low
DEF000289,PRD07441,SUP0396,WH002,Broken Item,201,8/2/2025,High
DEF000290,PRD09886,SUP0018,WH039,Contamination,268,5/16/2025,High
DEF000291,PRD08807,SUP0427,WH046,Label Error,399,1/12/2024,Medium
DEF000292,PRD05068,SUP0405,WH043,Broken Item,429,1/30/2025,Low
DEF000293,PRD03335,SUP0994,WH045,Contamination,264,10/5/2024,Low
DEF000294,PRD08200,SUP0956,WH023,Broken Item,445,7/12/2024,Medium
DEF000295,PRD05093,SUP0720,WH004,Quality Failure,183,2/16/2024,Medium
DEF000296,PRD06312,SUP0915,WH032,Transit Damage,319,12/16/2025,Medium
DEF000297,PRD01075,SUP0558,WH022,Label Error,390,9/19/2025,Medium
DEF000298,PRD08280,SUP0885,WH002,Packaging Damage,39,1/9/2024,Medium
DEF000299,PRD01508,SUP0048,WH044,Broken Item,453,11/12/2025,High
DEF000300,PRD07206,SUP0594,WH047,Transit Damage,467,2/7/2026,Critical
DEF000301,PRD06270,SUP0861,WH025,Expired Product,310,2/19/2026,Low
DEF000302,PRD00118,SUP0443,WH030,Broken Item,230,3/13/2025,Critical
DEF000303,PRD06501,SUP1000,WH030,Contamination,419,11/22/2024,Low
DEF000304,PRD06919,SUP0939,WH003,Transit Damage,100,7/6/2025,Low
DEF000305,PRD02198,SUP0676,WH049,Expired Product,378,9/18/2025,High
DEF000306,PRD00050,SUP0281,WH006,Broken Item,69,10/9/2023,Low
DEF000307,PRD07011,SUP0181,WH045,Contamination,152,6/30/2023,Medium
DEF000308,PRD01261,SUP0385,WH033,Packaging Damage,330,8/20/2023,Low
DEF000309,PRD00407,SUP0944,WH044,Transit Damage,162,11/22/2024,Medium
DEF000310,PRD03454,SUP0633,WH050,Contamination,166,11/27/2023,Critical
DEF000311,PRD03927,SUP0846,WH020,Transit Damage,421,5/10/2023,High
DEF000312,PRD01709,SUP0572,WH030,Expired Product,440,4/27/2023,High
DEF000313,PRD04838,SUP0099,WH038,Quality Failure,221,2/6/2026,Medium
DEF000314,PRD03612,SUP0644,WH038,Broken Item,400,4/18/2025,Low
DEF000315,PRD06561,SUP0326,WH010,Contamination,223,6/16/2023,Low
DEF000316,PRD09810,SUP0891,WH044,Expired Product,69,3/12/2024,Low
DEF000317,PRD02507,SUP0970,WH050,Broken Item,71,6/24/2024,Medium
DEF000318,PRD02698,SUP0657,WH050,Transit Damage,327,4/18/2023,Low
DEF000319,PRD06796,SUP0187,WH002,Expired Product,127,4/21/2024,High
DEF000320,PRD08680,SUP0495,WH038,Contamination,194,9/2/2023,Medium
DEF000321,PRD01633,SUP0328,WH021,Broken Item,193,10/11/2024,Low
DEF000322,PRD09147,SUP0282,WH027,Quality Failure,203,5/18/2024,Medium
DEF000323,PRD01784,SUP0831,WH016,Label Error,234,1/7/2023,Low
DEF000324,PRD09728,SUP0081,WH033,Packaging Damage,96,6/9/2023,Medium
DEF000325,PRD00710,SUP0224,WH041,Broken Item,203,11/18/2023,High
DEF000326,PRD08547,SUP0578,WH044,Label Error,397,4/2/2023,High
DEF000327,PRD01371,SUP0506,WH006,Label Error,417,8/20/2024,Low
DEF000328,PRD02802,SUP0645,WH035,Packaging Damage,454,3/30/2024,Low
DEF000329,PRD04758,SUP0737,WH007,Broken Item,442,3/20/2024,Low
DEF000330,PRD05842,SUP0285,WH012,Expired Product,194,8/9/2023,Medium
DEF000331,PRD07558,SUP0010,WH036,Expired Product,364,8/25/2023,Medium
DEF000332,PRD05038,SUP0185,WH042,Expired Product,367,9/25/2023,Medium
DEF000333,PRD09526,SUP0266,WH018,Contamination,249,5/4/2023,Medium
DEF000334,PRD06698,SUP0397,WH049,Broken Item,467,3/29/2024,Low
DEF000335,PRD00952,SUP0242,WH002,Packaging Damage,183,3/23/2025,Medium
DEF000336,PRD02699,SUP0328,WH023,Label Error,184,11/21/2024,Low
DEF000337,PRD08139,SUP0303,WH023,Broken Item,133,6/20/2026,Medium
DEF000338,PRD04041,SUP0357,WH019,Quality Failure,147,1/29/2026,Medium
DEF000339,PRD02243,SUP0430,WH038,Label Error,407,7/7/2023,Medium
DEF000340,PRD04906,SUP0067,WH037,Contamination,33,12/19/2025,Medium
DEF000341,PRD05169,SUP0881,WH024,Contamination,19,6/10/2025,Critical
DEF000342,PRD08795,SUP0626,WH039,Broken Item,89,10/25/2025,Medium
DEF000343,PRD06972,SUP0152,WH025,Packaging Damage,323,2/27/2023,Low
