product_id,warehouse_id,category,brand,unit_price,unit_cost,lead_time_days,supplier_id,reorder_point,safety_stock,stock_on_hand,stock_reserved,available_stock,avg_daily_demand,forecasted_demand,reorder_quantity
PRD08087,WH030,Household,NaturePlus,483.53,415.6,19,SUP0824,67,31,3336,742,2594,0.0,0.0,0
PRD09601,WH009,Fruits & Vegetables,NaturePlus,224.96,175.41,2,SUP0508,71,100,3533,581,2952,0.0,0.0,0
PRD08324,WH049,Bakery,FamilyChoice,645.15,423.81,7,SUP0639,55,78,1491,173,1318,0.0,0.0,0
PRD06090,WH050,Personal Care,NaturePlus,340.74,258.32,5,SUP0211,228,95,7296,79,7217,0.0,0.0,0
PRD09732,WH048,Household,PureHarvest,693.51,459.22,14,SUP0318,45,47,953,58,895,0.0,0.0,0
PRD08056,WH042,Household,PrimeFoods,443.23,308.53,5,SUP0008,122,54,7361,1980,5381,0.0,0.0,0
PRD02697,WH035,Fruits & Vegetables,SuperFresh,224.25,147.0,23,SUP0038,51,64,6512,910,5602,0.0,0.0,0
PRD08226,WH034,Personal Care,PrimeFoods,546.85,392.07,16,SUP0098,82,14,9479,1680,7799,0.0,0.0,0
PRD06928,WH040,Personal Care,PremiumSelect,701.7,498.81,19,SUP0886,230,7,663,163,500,0.0,0.0,0
PRD07031,WH037,Frozen Foods,QuickBite,127.43,95.71,22,SUP0081,229,17,5717,1064,4653,5.214285714285714,114.71428571428572,0
PRD07626,WH033,Cleaning Supplies,DailyChoice,293.27,245.03,7,SUP0231,70,18,6164,267,5897,0.0,0.0,0
PRD09393,WH012,Bakery,FreshMart,696.91,481.95,21,SUP0682,209,74,3737,907,2830,6.0,126.0,0
PRD08640,WH044,Fruits & Vegetables,PureHarvest,76.0,60.95,5,SUP0740,78,76,9954,1571,8383,5.0,25.0,0
PRD06713,WH034,Packaged Foods,UrbanFresh,117.87,88.57,14,SUP0396,291,7,4226,1163,3063,6.571428571428571,92.0,0
PRD01916,WH030,Household,NaturePlus,311.57,220.86,2,SUP0704,248,66,6293,1124,5169,3.9285714285714284,7.857142857142857,0
PRD02835,WH033,Packaged Foods,PureLife,87.07,55.3,4,SUP0592,148,82,6228,953,5275,0.0,0.0,0
PRD09133,WH021,Beverages,GreenHarvest,572.06,366.76,18,SUP0033,98,22,1250,386,864,0.0,0.0,0
PRD04452,WH047,Frozen Foods,GreenHarvest,269.38,229.21,4,SUP0427,95,35,8446,464,7982,0.0,0.0,0
PRD04259,WH046,Cleaning Supplies,PureHarvest,492.89,388.88,10,SUP0513,273,100,5022,1636,3386,0.0,0.0,0
PRD01617,WH001,Household,GoldenHarvest,246.76,178.94,16,SUP0611,59,73,2485,654,1831,6.357142857142857,101.71428571428571,0
PRD02403,WH028,Cleaning Supplies,UrbanFresh,108.57,80.5,15,SUP0137,120,62,8971,574,8397,0.9285714285714286,13.928571428571429,0
PRD02168,WH039,Frozen Foods,HealthySelect,379.56,245.41,23,SUP0866,105,54,6350,2331,4019,0.0,0.0,0
PRD09802,WH024,Packaged Foods,GoldenHarvest,45.98,38.77,23,SUP0502,179,14,5778,721,5057,0.0,0.0,0
PRD02831,WH032,Frozen Foods,PureHarvest,376.2,248.73,18,SUP0901,281,40,2604,1003,1601,0.0,0.0,0
PRD06238,WH023,Household,SuperFresh,358.7,308.97,22,SUP0250,244,11,649,215,434,0.0,0.0,0
PRD05489,WH040,Cleaning Supplies,PremiumSelect,346.84,223.46,13,SUP0243,261,7,1296,18,1278,5.428571428571429,70.57142857142857,0
PRD05864,WH011,Beverages,NaturePlus,46.65,40.18,3,SUP0954,216,16,9690,1721,7969,3.857142857142857,11.571428571428571,0
PRD04042,WH015,Fruits & Vegetables,MegaStore,55.92,35.55,23,SUP0293,294,96,5137,1325,3812,3.0,69.0,0
PRD05860,WH018,Personal Care,GreenHarvest,694.07,474.86,5,SUP0216,118,82,365,76,289,0.0,0.0,0
PRD05365,WH016,Fruits & Vegetables,EcoLiving,37.29,32.22,12,SUP0333,262,11,5792,766,5026,0.0,0.0,0
PRD07809,WH041,Household,QuickBite,321.52,267.81,7,SUP0948,204,47,3585,454,3131,0.0,0.0,0
PRD03575,WH018,Personal Care,ValuePlus,504.79,340.85,9,SUP0234,151,100,8338,1260,7078,0.0,0.0,0
PRD07843,WH043,Cleaning Supplies,GoldenHarvest,175.57,135.2,25,SUP0789,61,30,9298,3618,5680,0.0,0.0,0
PRD06992,WH011,Dairy,HomeEssentials,118.31,88.97,16,SUP0629,125,51,6099,308,5791,5.428571428571429,86.85714285714286,0
PRD09153,WH043,Personal Care,DailyChoice,522.29,387.99,17,SUP0272,138,46,9585,2699,6886,7.571428571428571,128.71428571428572,0
PRD04188,WH024,Dairy,EcoLiving,72.22,59.13,14,SUP0917,133,86,9677,3678,5999,0.0,0.0,0
PRD07661,WH023,Snacks,FamilyChoice,51.88,35.59,8,SUP0149,244,12,3803,530,3273,0.0,0.0,0
PRD07214,WH017,Dairy,PureHarvest,137.35,99.23,20,SUP0704,147,48,9850,1269,8581,0.0,0.0,0
PRD06867,WH018,Dairy,NaturePlus,286.41,181.69,20,SUP0692,221,44,5138,243,4895,0.0,0.0,0
PRD07171,WH018,Frozen Foods,QuickBite,381.61,323.58,16,SUP0116,264,67,3610,1390,2220,0.0,0.0,0
PRD03656,WH034,Frozen Foods,NaturePlus,31.29,24.86,18,SUP0185,118,10,857,309,548,2.7142857142857144,48.85714285714286,0
PRD01957,WH034,Cleaning Supplies,UrbanFresh,227.14,196.22,15,SUP0698,289,38,8431,2335,6096,3.642857142857143,54.64285714285714,0
PRD02313,WH048,Bakery,HomeEssentials,697.6,497.74,27,SUP0512,24,66,9878,1631,8247,5.642857142857143,152.35714285714286,0
PRD01752,WH015,Household,FamilyChoice,353.25,239.42,30,SUP0502,234,12,8440,2179,6261,0.0,0.0,0
PRD07064,WH036,Beverages,PureHarvest,240.95,162.28,21,SUP0266,286,38,6993,282,6711,0.0,0.0,0
PRD01896,WH006,Household,PureHarvest,272.25,175.93,18,SUP0565,41,6,8927,946,7981,0.0,0.0,0
PRD05309,WH019,Household,ValuePlus,367.59,264.71,12,SUP0674,169,62,2356,722,1634,0.0,0.0,0
PRD03961,WH047,Household,SmartChoice,530.98,407.46,10,SUP0694,294,20,3787,658,3129,7.0,70.0,0
PRD05221,WH024,Bakery,PureLife,620.35,462.32,24,SUP0086,29,39,2038,601,1437,0.0,0.0,0
PRD00505,WH017,Fruits & Vegetables,SuperFresh,121.73,98.67,19,SUP0323,130,71,3820,1110,2710,0.0,0.0,0
PRD06340,WH047,Beverages,PureHarvest,550.22,442.23,25,SUP0863,52,61,4193,701,3492,0.0,0.0,0
PRD00569,WH044,Snacks,NaturePlus,290.7,199.42,25,SUP0903,201,37,3531,836,2695,0.0,0.0,0
PRD08399,WH001,Snacks,DailyChoice,403.77,265.7,14,SUP0743,224,89,1187,420,767,0.0,0.0,0
PRD07432,WH033,Household,GoldenHarvest,467.0,345.93,6,SUP0175,202,73,4542,1208,3334,0.0,0.0,0
PRD02038,WH004,Packaged Foods,NaturePlus,502.95,323.45,6,SUP0639,34,68,1530,522,1008,5.0,30.0,0
PRD05738,WH032,Beverages,SmartChoice,750.94,474.26,21,SUP0102,204,90,3964,880,3084,0.0,0.0,0
PRD08004,WH004,Dairy,NaturePlus,143.22,100.58,13,SUP0866,144,16,2142,733,1409,0.0,0.0,0
PRD08211,WH020,Personal Care,NaturePlus,364.67,293.03,30,SUP0207,202,12,8310,551,7759,0.0,0.0,0
PRD02246,WH016,Household,SuperFresh,663.05,424.84,18,SUP0117,138,30,8808,1730,7078,0.0,0.0,0
PRD04993,WH033,Beverages,FamilyChoice,381.65,248.47,6,SUP0267,196,31,6812,1553,5259,4.571428571428571,27.428571428571427,0
PRD01275,WH027,Cleaning Supplies,HappyHome,239.65,204.46,10,SUP0430,248,97,1693,306,1387,1.7857142857142858,17.857142857142858,0
PRD08944,WH016,Beverages,HappyHome,646.63,405.17,30,SUP0723,131,64,4970,1671,3299,6.428571428571429,192.85714285714286,0
PRD07729,WH019,Cleaning Supplies,SuperFresh,369.45,270.79,11,SUP0309,87,34,2485,686,1799,1.0714285714285714,11.785714285714285,0
PRD03532,WH034,Personal Care,DailyChoice,350.63,259.77,3,SUP0655,61,6,5752,65,5687,0.0,0.0,0
PRD05922,WH020,Frozen Foods,PureHarvest,403.37,266.32,17,SUP0056,252,61,6907,1740,5167,6.428571428571429,109.28571428571429,0
PRD05945,WH050,Bakery,HomeEssentials,190.76,121.6,3,SUP0213,26,67,2254,812,1442,4.214285714285714,12.642857142857142,0
PRD05956,WH009,Beverages,PureLife,331.34,271.89,14,SUP0474,145,10,3575,386,3189,0.0,0.0,0
PRD01025,WH044,Cleaning Supplies,SmartChoice,582.44,442.79,17,SUP0053,297,17,3838,1134,2704,0.0,0.0,0
PRD04613,WH007,Personal Care,SmartChoice,499.22,390.53,8,SUP0560,80,38,1963,445,1518,0.0,0.0,0
PRD02571,WH050,Fruits & Vegetables,PureLife,253.54,167.84,22,SUP0948,219,91,3999,1501,2498,6.857142857142857,150.85714285714286,0
PRD09445,WH011,Bakery,QuickBite,447.54,324.64,2,SUP0933,55,5,4148,1292,2856,5.214285714285714,10.428571428571429,0
PRD09247,WH012,Snacks,PrimeFoods,360.45,233.37,25,SUP0515,196,51,7825,2711,5114,0.0,0.0,0
PRD02764,WH020,Bakery,QuickBite,503.14,349.73,14,SUP0433,221,97,6220,664,5556,5.857142857142857,82.0,0
PRD08631,WH043,Snacks,HappyHome,350.85,245.26,15,SUP0749,237,43,2728,412,2316,0.0,0.0,0
PRD09411,WH049,Packaged Foods,FreshMart,103.86,79.13,27,SUP0981,24,24,113,6,107,4.785714285714286,129.21428571428572,0
PRD07829,WH042,Beverages,DailyChoice,566.64,363.16,14,SUP0120,177,83,1722,373,1349,1.5714285714285714,22.0,0
PRD00816,WH008,Cleaning Supplies,UrbanFresh,494.0,328.15,13,SUP0636,45,92,8666,1057,7609,6.071428571428571,78.92857142857143,0
PRD09268,WH015,Beverages,GoldenHarvest,193.88,125.42,23,SUP0931,212,17,1413,348,1065,4.5,103.5,0
PRD09410,WH013,Bakery,GreenHarvest,139.87,95.02,20,SUP0061,54,53,1844,603,1241,2.357142857142857,47.142857142857146,0
PRD05426,WH043,Household,QuickBite,418.26,353.75,17,SUP0884,241,31,4051,440,3611,0.0,0.0,0
PRD01196,WH006,Packaged Foods,HappyHome,402.47,288.22,26,SUP0335,115,68,1729,410,1319,0.0,0.0,0
PRD07039,WH034,Bakery,SuperFresh,69.03,52.61,15,SUP0819,180,7,670,66,604,0.0,0.0,0
PRD08261,WH046,Frozen Foods,PrimeFoods,327.17,206.92,4,SUP0244,20,85,958,286,672,0.6428571428571429,2.5714285714285716,0
PRD07432,WH007,Household,GoldenHarvest,467.0,345.93,6,SUP0175,202,73,3492,1231,2261,0.0,0.0,0
PRD01476,WH049,Bakery,QuickBite,197.81,156.0,14,SUP0837,91,73,902,187,715,0.0,0.0,0
PRD07796,WH014,Beverages,QuickBite,473.82,366.25,15,SUP0615,33,12,9564,3199,6365,0.0,0.0,0
PRD01164,WH030,Frozen Foods,PrimeFoods,723.56,477.21,6,SUP0770,65,16,1326,363,963,10.071428571428571,60.42857142857143,0
PRD05528,WH026,Bakery,UrbanFresh,150.12,129.92,14,SUP0975,49,15,7948,3137,4811,15.071428571428571,211.0,0
PRD08616,WH030,Fruits & Vegetables,FamilyChoice,590.89,372.75,4,SUP0161,163,19,7550,719,6831,0.0,0.0,0
PRD01513,WH045,Personal Care,FamilyChoice,260.63,213.06,19,SUP0430,116,95,2476,410,2066,0.35714285714285715,6.785714285714286,0
PRD06574,WH023,Frozen Foods,FamilyChoice,581.36,366.1,25,SUP0503,90,77,8904,2005,6899,1.8571428571428572,46.42857142857143,0
PRD08453,WH037,Bakery,ValuePlus,489.51,357.73,26,SUP0866,221,97,9112,2829,6283,1.5,39.0,0
PRD03200,WH030,Beverages,GreenHarvest,565.53,355.42,24,SUP0986,231,79,6247,1998,4249,12.785714285714286,306.8571428571429,0
PRD06312,WH034,Bakery,PremiumSelect,107.8,86.77,6,SUP0915,226,12,1329,476,853,0.0,0.0,0
PRD04618,WH038,Cleaning Supplies,EcoLiving,589.21,370.63,6,SUP0467,64,11,2594,512,2082,8.571428571428571,51.42857142857143,0
PRD03475,WH025,Beverages,UrbanFresh,129.91,107.46,18,SUP0438,133,25,7261,2693,4568,0.0,0.0,0
PRD08452,WH037,Personal Care,ValuePlus,30.58,22.32,14,SUP0284,83,77,7602,2599,5003,0.0,0.0,0
PRD00226,WH048,Frozen Foods,HappyHome,643.12,424.85,16,SUP0116,269,57,7050,775,6275,7.142857142857143,114.28571428571429,0
PRD00240,WH028,Dairy,FreshMart,252.74,163.31,4,SUP0772,82,26,3472,282,3190,0.0,0.0,0
PRD08704,WH045,Beverages,PremiumSelect,293.81,198.96,23,SUP0955,55,53,2494,166,2328,10.928571428571429,251.35714285714286,0
PRD01255,WH032,Personal Care,SmartChoice,257.99,204.17,19,SUP0134,214,6,7571,358,7213,6.714285714285714,127.57142857142857,0
PRD07310,WH012,Cleaning Supplies,SuperFresh,319.05,268.41,15,SUP0053,214,60,6185,1466,4719,1.8571428571428572,27.857142857142858,0
PRD01626,WH038,Dairy,SuperFresh,464.5,308.5,21,SUP0555,174,25,6911,2759,4152,0.0,0.0,0
PRD03831,WH004,Snacks,PremiumSelect,91.13,79.1,14,SUP0137,116,47,9285,2885,6400,0.0,0.0,0
PRD07474,WH026,Fruits & Vegetables,FreshMart,32.28,20.81,4,SUP0614,245,84,5476,1229,4247,7.785714285714286,31.142857142857142,0
PRD08098,WH034,Fruits & Vegetables,EcoLiving,118.74,94.3,25,SUP0571,96,43,5455,1696,3759,5.357142857142857,133.92857142857142,0
PRD08194,WH020,Fruits & Vegetables,MegaStore,43.79,34.31,26,SUP0846,156,98,6662,344,6318,7.0,182.0,0
PRD09120,WH042,Cleaning Supplies,PureLife,206.34,155.47,27,SUP0286,170,55,4863,97,4766,0.0,0.0,0
PRD08123,WH006,Beverages,GreenHarvest,145.86,103.81,5,SUP0323,162,91,9623,3085,6538,3.7857142857142856,18.928571428571427,0
PRD06020,WH047,Personal Care,UrbanFresh,260.97,170.42,17,SUP0345,163,41,3545,594,2951,0.0,0.0,0
PRD03954,WH035,Bakery,EcoLiving,449.01,378.57,19,SUP0369,116,42,4770,148,4622,0.0,0.0,0
PRD03804,WH050,Dairy,EcoLiving,610.85,461.13,18,SUP0842,197,68,8172,634,7538,1.2142857142857142,21.857142857142854,0
PRD07303,WH003,Cleaning Supplies,FamilyChoice,271.41,175.16,23,SUP0024,104,94,9977,3923,6054,4.071428571428571,93.64285714285714,0
PRD09312,WH034,Packaged Foods,PremiumSelect,418.53,346.39,26,SUP0691,85,53,5167,214,4953,9.785714285714286,254.42857142857144,0
PRD07167,WH020,Snacks,PureHarvest,50.57,43.3,7,SUP0715,149,78,4261,1428,2833,0.0,0.0,0
PRD07504,WH016,Cleaning Supplies,QuickBite,528.44,369.84,11,SUP0470,168,92,5682,1152,4530,0.0,0.0,0
PRD06921,WH045,Cleaning Supplies,QuickBite,617.31,462.6,22,SUP0194,250,19,7598,2047,5551,0.42857142857142855,9.428571428571429,0
PRD09199,WH030,Dairy,HealthySelect,590.44,482.45,14,SUP0423,58,21,8321,1036,7285,5.285714285714286,74.0,0
PRD03476,WH018,Cleaning Supplies,PremiumSelect,221.15,166.41,27,SUP0851,289,29,7791,526,7265,0.0,0.0,0
PRD09941,WH030,Dairy,FamilyChoice,332.03,230.87,17,SUP0446,212,31,945,97,848,8.5,144.5,0
PRD06652,WH016,Beverages,EcoLiving,328.47,277.98,22,SUP0148,144,24,1385,322,1063,4.642857142857143,102.14285714285715,0
PRD03334,WH025,Frozen Foods,PureLife,98.86,85.9,12,SUP0359,172,56,2022,613,1409,7.071428571428571,84.85714285714286,0
PRD03510,WH013,Packaged Foods,SmartChoice,42.91,34.88,25,SUP0698,56,95,1711,218,1493,2.7142857142857144,67.85714285714286,0
PRD04800,WH015,Fruits & Vegetables,HealthySelect,473.54,297.71,22,SUP0046,26,17,1336,400,936,0.0,0.0,0
PRD07121,WH043,Personal Care,QuickBite,185.68,126.24,16,SUP0808,213,73,5615,1582,4033,0.9285714285714286,14.857142857142858,0
PRD08688,WH028,Bakery,PureLife,540.16,386.54,15,SUP0243,68,34,8373,877,7496,0.0,0.0,0
PRD08344,WH012,Fruits & Vegetables,HappyHome,299.87,237.51,23,SUP0751,72,20,4158,302,3856,0.0,0.0,0
PRD06406,WH007,Frozen Foods,GoldenHarvest,87.84,61.05,25,SUP0145,224,92,5975,2045,3930,5.285714285714286,132.14285714285714,0
PRD02962,WH035,Snacks,HappyHome,306.56,195.27,17,SUP0484,196,88,1333,66,1267,0.0,0.0,0
PRD07906,WH016,Household,GreenHarvest,284.93,216.99,16,SUP0907,210,21,5963,818,5145,4.5,72.0,0
PRD06898,WH002,Bakery,UrbanFresh,77.05,61.4,7,SUP0341,203,72,1134,128,1006,0.0,0.0,0
PRD00163,WH040,Beverages,DailyChoice,336.26,253.98,28,SUP0908,209,38,7836,2141,5695,4.642857142857143,130.0,0
PRD03488,WH013,Snacks,PremiumSelect,117.2,99.18,24,SUP0123,281,86,5435,2162,3273,11.285714285714286,270.8571428571429,0
PRD07867,WH047,Fruits & Vegetables,NaturePlus,652.38,431.33,5,SUP0436,258,78,1092,66,1026,6.714285714285714,33.57142857142857,0
PRD01872,WH045,Packaged Foods,ValuePlus,239.64,163.95,4,SUP0397,38,89,2699,646,2053,0.0,0.0,0
PRD05504,WH041,Frozen Foods,PureHarvest,562.84,451.26,9,SUP0238,294,6,7623,2412,5211,0.0,0.0,0
PRD07498,WH015,Frozen Foods,SmartChoice,167.86,127.26,6,SUP0456,134,61,1319,271,1048,2.9285714285714284,17.57142857142857,0
PRD02830,WH038,Bakery,HappyHome,194.13,157.5,11,SUP0657,253,81,9020,3221,5799,6.571428571428571,72.28571428571428,0
PRD04351,WH050,Fruits & Vegetables,PureHarvest,510.49,387.95,6,SUP0737,45,90,9340,2443,6897,0.0,0.0,0
PRD01802,WH031,Frozen Foods,PureHarvest,285.95,201.48,29,SUP0152,69,78,8977,2903,6074,0.0,0.0,0
PRD02667,WH025,Snacks,EcoLiving,37.42,23.75,16,SUP0260,123,16,7418,2406,5012,0.0,0.0,0
PRD00411,WH037,Bakery,PrimeFoods,249.54,165.62,21,SUP0515,121,65,882,135,747,0.0,0.0,0
PRD09509,WH045,Bakery,HappyHome,475.67,325.69,22,SUP0727,53,34,8376,1375,7001,0.0,0.0,0
PRD03403,WH017,Beverages,HomeEssentials,650.95,460.57,5,SUP0219,98,32,2397,589,1808,3.9285714285714284,19.642857142857142,0
PRD08738,WH049,Personal Care,GoldenHarvest,119.41,78.66,12,SUP0882,267,100,9402,1551,7851,0.0,0.0,0
PRD07274,WH030,Personal Care,HomeEssentials,66.59,57.2,13,SUP0439,170,75,2797,503,2294,4.0,52.0,0
PRD06154,WH022,Household,MegaStore,195.41,167.24,6,SUP0188,212,27,2676,591,2085,0.0,0.0,0
PRD03596,WH012,Dairy,FamilyChoice,57.1,45.56,11,SUP0960,170,38,1742,214,1528,0.2857142857142857,3.142857142857143,0
PRD02540,WH021,Packaged Foods,PureHarvest,505.33,407.59,21,SUP0832,210,92,2143,163,1980,0.0,0.0,0
PRD06519,WH003,Dairy,GreenHarvest,141.67,92.3,17,SUP0222,238,87,5457,1446,4011,3.357142857142857,57.07142857142857,0
